timestamp_ms,real_x,real_y,pred_x,pred_y
16259291,108.125,67.5625,107.938,36.375
16259334,108.125,74.0625,108.266,90.9531
16259375,105.688,88.75,108.125,80.253
16259415,92.625,103.938,104.469,96.0938
16259455,87.8125,103.812,82.8281,115.328
16259496,77.3125,104.062,84.0828,103.716
16259536,67.625,104.062,69.4375,104.25
16259576,59,103.938,60.3594,104.062
16259616,31.5,103.875,52.1,103.838
16259657,31.5,103.875,10.875,103.828
16259699,19.125,103.812,31.5,103.875
16259739,8.4375,103.562,10.0701,103.767
16259779,5.3125,100.125,0.421875,103.375
16259821,6.3125,94.875,2.73438,97.2891
16259861,6.3125,94.875,6.8003,92.314
16259901,7.75,86.5625,6.3125,94.875
16259941,8.3125,83.375,8.82812,80.3281
16259981,10.5625,81.5,8.73438,80.9844
16260021,11.3125,82.5625,12.3062,80.0469
16260061,12.25,82.9375,11.875,83.3594
16260101,13.6875,77.875,12.9766,83.2281
16260141,14.6875,70.5625,14.7656,74.0781
16260182,16.1875,61.5,15.2125,66.7234
16260222,15.6875,51.1875,17.3125,54.7031
16260262,17.0625,39.6875,15.3,43.1953
16260302,18.5625,15,18.0938,31.0625
16260342,19,5.9375,19.6875,-3.51562
16260382,18.25,7.0625,19.35,-1.3125
16260424,17.125,8.4375,17.6875,7.90625
16260464,16,8.625,16.5213,9.17531
16260505,14.1875,9.1875,15.1562,8.76562
16260545,13.125,8.875,12.8281,9.60938
16260585,9.3125,6.625,12.3281,8.64062
16260625,10.6875,6.4375,6.45312,4.9375
16260665,13.75,6.625,11.7531,6.29219
16260706,13.75,6.625,16.0469,6.76562
16260746,17.5625,6.0625,13.75,6.625
16260786,19.4375,6.125,20.5172,5.62656
16260826,20.8125,6.0625,20.8438,6.17188
16260867,23.3125,6.125,21.8438,6.01562
16260907,24.75,6.25,25.1875,6.17188
16260947,26.375,6.1875,25.4688,6.3125
16260987,26.3125,6.1875,27.5938,6.14062
16261027,28.1875,6.125,26.2656,6.1875
16261067,28.4375,6.1875,29.5938,6.07812
16261107,30,6.25,28.625,6.23438
16261148,33.1875,5.875,31.1719,6.29688
16261188,33.1875,5.875,35.6578,5.58437
16261228,36.875,7,33.1875,5.875
16261268,38.6875,6.875,39.825,7.9
16261308,40.625,6.375,40.0469,6.78125
16261348,43.125,6.25,41.5938,6.125
16261388,46.25,6.25,45,6.15625
16261428,46.75,6.25,48.5938,6.25
16261469,50.4375,6.1875,47.125,6.25
16261509,53.3125,6.4375,53.2031,6.14062
16261549,57.375,6.5,55.4688,6.625
16261589,66.0625,6.0625,60.4219,6.54688
16261633,66.0625,6.0625,72.7953,5.72344
16261673,77.375,5.5625,66.0625,6.0625
16261713,83,6.3125,85.8594,5.1875
16261753,87.75,6.1875,87.2188,6.875
16261793,94.25,6.4375,91.3125,6.09375
16261833,103.062,6,99.125,6.625
16261874,103.062,6,109.672,5.67188
16261914,107.875,11,103.062,6
16261954,107.125,13.125,111.484,14.75
16261995,106.062,12.125,106.562,14.7188
16262035,107.312,18,105.213,11.325
16262075,107.438,29.875,108.25,22.4062
16262117,107.125,36.5,107.506,36.4062
16262157,107.938,57,106.896,41.3476
16262198,107.938,57,108.567,72.8875
16262238,108,68.5625,107.938,57
16262279,107.812,99.0625,108.047,77.2344
16262319,102.312,103.938,107.675,121.38
16262359,91.1875,104,98.1875,107.594
16262399,72.375,103.625,82.8438,104.047
16262439,63.5,103.375,58.2656,103.344
16262480,54.875,103.375,56.8438,103.188
16262520,46.875,103.875,48.4062,103.375
16262560,30.6875,103.562,40.875,104.25
16262600,24.75,103.75,18.5469,103.328
16262640,24.75,103.75,20.2969,103.891
16262680,10.6875,103.75,24.75,103.75
16262721,8.125,102.75,3.65625,103.75
16262762,8.125,102.75,6.075,101.95
16262802,7.25,96,8.125,102.75
16262842,7.4375,92.9375,6.59375,90.9375
16262882,7.4375,92.9375,7.57812,90.6406
16262923,7.1875,94.1875,7.4375,92.9375
16262963,7.3125,94.5,6.99375,95.1562
16263003,7.4375,87.5625,7.40625,94.7344
16263043,8.75,79.625,7.53125,82.3594
